Lista de Productos,Precios,Descuento,Marca,Supermercado,Lista de Productos Normalizados,Cluster,Nombre Cluster
pasta de ají panca tottus 205 g,S/  5.40,,Mezcla para keke de vainilla de 510 g,Tottus,past aji panc tottus 205 g,8,"200g, past, cuisin"
salsa de ajo y kión kikko de 350 ml,S/  4.60,,Por Tottus,Tottus,sals ajo kion kikk 350 ml,0,"sals, bols, chocolat"
ketchup de 200 g para la alacena,S/  4.70,,TOTTUS,Tottus,ketchup 200 g alacen,0,"sals, bols, chocolat"
pasta de trigo don vittorio linguini grosso de 450 g,S/  4.70,,Pasta de Ají Panca Tottus 205 g,Tottus,past trig don vittori linguini gross 450 g,1,"vittori, don, pastin"
pimiento piquillo gourmet de 290 g,S/  11.90,,Por Tottus,Tottus,pimient piquill gourmet 290 g,0,"sals, bols, chocolat"
ajos molidos tottus 215 g,S/  6.70,,KIKKO,Tottus,ajos mol tottus 215 g,4,"sibarit, mol, sazon"
salsa de tomate pomarola bolognesa de 370 g,S/  6.85,,Salsa de Ajo y Kión Kikko de 350 mL,Tottus,sals tomat pomarol bolognes 370 g,0,"sals, bols, chocolat"
naturandes harina de linaza x300g,S/  10,,Por Tottus,Tottus,naturand harin linaz x300g,0,"sals, bols, chocolat"
sopa instantánea mixta de mar 125 gr,S/  6.70,,ALACENA,Tottus,sop instantane mixt mar 125 gr,9,"sabor, instantane, sop"
aceite de oliva puro el olivar 200 ml,S/  12.50,,Ketchup de 200 g para la alacena,Tottus,aceit oliv pur oliv 200 ml,5,"aceit, atun, vegetal"
vinagre de vino blanco florida de 1 litro,S/  4.60,,Por Tottus,Tottus,vinagr vin blanc flor 1 litr,0,"sals, bols, chocolat"
menta andina cj. x 12 uni. wawasana,S/  3.50,17%,WAWASANA,Tottus,ment andin cj . x 12 uni . wawasan,0,"sals, bols, chocolat"
tallarín precio uno 500 g - bolsa 500 gr,S/  2.60,,MENTA ANDINA CJ. X 12 UNI. WAWASANA,Tottus,tallarin preci 500 g - bols 500 gr,3,"500, bols, costeñ"
cereal bar chips 8 unidades 21g,S/  6.60,,Por Tottus,Tottus,cereal bar chips 8 unidad 21g,0,"sals, bols, chocolat"
ajo molido sibarita siba de 250 g,S/  10,,PRECIO UNO,Tottus,ajo mol sibarit sib 250 g,4,"sibarit, mol, sazon"
tottus pimienta negra molida 20 g,S/  2.50,,Tallarín Precio Uno 500 g - Bolsa 500 gr,Tottus,tottus pimient negr mol 20 g,4,"sibarit, mol, sazon"
mezcla polvo umsha gelatina fresa bolsa x 120g,S/  3.70,,Por Tottus,Tottus,mezcl polv umsha gelatin fres bols x 120g,10,"gelatin, universal, polv"
tallarín saltado ajinomen 100 g,S/  2.20,,COSTA,Tottus,tallarin salt ajinom 100 g,0,"sals, bols, chocolat"
pre mezcla fudge brownie tottus 310 g,S/  7.50,,Cereal Bar Chips 8 Unidades 21g,Tottus,pre mezcl fudg browni tottus 310 g,0,"sals, bols, chocolat"
pack de vinagre de manzana de 2 unidades,S/  24.10,,Por Tottus,Tottus,pack vinagr manzan 2 unidad,0,"sals, bols, chocolat"
mezcla para arroz con pollo seco y aguadito provenzal 58 g,S/  9,,SIBARITA,Tottus,mezcl arroz poll sec aguadit provenzal 58 g,0,"sals, bols, chocolat"
pimienta negra molida tottus 60 g,S/  8.40,,Ajo molido Sibarita Siba de 250 g,Tottus,pimient negr mol tottus 60 g,4,"sibarit, mol, sazon"
salsa de tomate pomarola casera hongo laurel 390g,S/  5.60,,Por Tottus,Tottus,sals tomat pomarol caser hong laurel 390g,0,"sals, bols, chocolat"
fideos tornillo tricolor molitalia de 250 g,S/  2.90,,MOLITALIA,Tottus,fide tornill tricolor molitali 250 g,0,"sals, bols, chocolat"
fideos spaghettoni ruvidi giuseppe ferro 500 g,S/  6.45,,Fideos Tornillo Tricolor Molitalia de 250 g,Tottus,fide spaghettoni ruvidi giusepp ferr 500 g,0,"sals, bols, chocolat"
arroz extra tottus 750 g,S/  4.10,,Por Tottus,Tottus,arroz extra tottus 750 g,7,"arroz, kg, extra"
ajonjolí tottus 20 g,S/  2.10,,GIUSEPPE FERRO,Tottus,ajonjol tottus 20 g,0,"sals, bols, chocolat"
sopa instantánea ajinomen sabor pollo con verduras 80 g,S/  1.60,,Fideos Spaghettoni Ruvidi Giuseppe Ferro 500 g,Tottus,sop instantane ajinom sabor poll verdur 80 g,9,"sabor, instantane, sop"
salsa vinagreta de mostaza y pimienta en alacena doypack de 190 g,S/  5.10,,Por Tottus,Tottus,sals vinagret mostaz pimient alacen doypack 190 g,0,"sals, bols, chocolat"
pepinillos salz-dill-gurken 720 ml,S/  36.30,,TOTTUS,Tottus,pepinill salz-dill-gurk 720 ml,0,"sals, bols, chocolat"
harina de ajonjolí 250 g,S/  10,,Arroz Extra Tottus 750 g,Tottus,harin ajonjol 250 g,0,"sals, bols, chocolat"
perejil 7 g,S/  4.50,,Por Tottus,Tottus,perejil 7 g,0,"sals, bols, chocolat"
harina de quinua 250 gr,S/  10.49,,TOTTUS,Tottus,harin quinu 250 gr,0,"sals, bols, chocolat"
sopa instantánea ajinomen sabor pollo 80 g,S/  1.60,,Ajonjolí Tottus 20 g,Tottus,sop instantane ajinom sabor poll 80 g,9,"sabor, instantane, sop"
cubo de sabor a carne maggi 8 unidades,S/  4.50,,Por Tottus,Tottus,cub sabor carn maggi 8 unidad,9,"sabor, instantane, sop"
alino acavillex200ml,S/  12.50,,ACAVILLE,Tottus,alin acavillex200ml,0,"sals, bols, chocolat"
romero tottus 10 g,S/  2.50,,ALINO ACAVILLEX200ML,Tottus,romer tottus 10 g,0,"sals, bols, chocolat"
salsa hoisin 397 g,S/  20.20,,Por Tottus,Tottus,sals hoisin 397 g,0,"sals, bols, chocolat"
mezcla polvo umsha mazamorra pina bolsa x 125g,S/  3.70,,TOTTUS,Tottus,mezcl polv umsha mazamorr pin bols x 125g,10,"gelatin, universal, polv"
turrón doña pepa receta tottus 500 g,S/  11.90,,Romero Tottus 10 g,Tottus,turron doñ pep recet tottus 500 g,0,"sals, bols, chocolat"
king kong manjar de piña y maní san roque 450 g,S/  28.50,,Por Tottus,Tottus,king kong manj piñ man san roqu 450 g,0,"sals, bols, chocolat"
salsa bbq original hunts x 360 gr,S/  8.90,,LEE KUM KEE,Tottus,sals bbq original hunts x 360 gr,0,"sals, bols, chocolat"
paprika molida 15 g,S/  4.20,,Salsa Hoisin 397 g,Tottus,paprik mol 15 g,4,"sibarit, mol, sazon"
mezcla polvo umsha gelatina pina bolsa x 120g,S/  3.70,,Por Tottus,Tottus,mezcl polv umsha gelatin pin bols x 120g,10,"gelatin, universal, polv"
arroz integral gran chalan x 750 g,S/  5.20,,UMSHA,Tottus,arroz integral gran chal x 750 g,7,"arroz, kg, extra"
colapiz sin sabor de 20 g,S/  3.10,,MEZCLA POLVO UMSHA MAZAMORRA PINA BOLSA X 125G,Tottus,colapiz sabor 20 g,9,"sabor, instantane, sop"
arroz superior paisana 1 kg,S/  4.90,,Por Tottus,Tottus,arroz superior paisan 1 kg,7,"arroz, kg, extra"
sopa de mariscos 56 g,S/  10.50,,NONGSHIM,Tottus,sop marisc 56 g,0,"sals, bols, chocolat"
flan vainilla royal x 80g,S/  2.90,,Sopa de mariscos 56 g,Tottus,flan vainill royal x 80g,9,"sabor, instantane, sop"
dip de quinoa natural ayni 200 g,S/  16.40,,Por Tottus,Tottus,dip quino natural ayni 200 g,0,"sals, bols, chocolat"
sazonador umami ajinomoto 100 g,S/  2.90,,ROYAL,Tottus,sazon umami ajinomot 100 g,4,"sibarit, mol, sazon"
protein pancake de cacao amaru de 350 g,S/  24.50,16%,FLAN VAINILLA ROYAL X 80G,Tottus,protein pancak caca amaru 350 g,0,"sals, bols, chocolat"
harina sin preparar tottus 1kg,S/  6.90,,Por Tottus,Tottus,harin prepar tottus 1kg,0,"sals, bols, chocolat"
mezcla polvo umsha gelatina uva bolsa x 120g,S/  3.70,,AYNI,Tottus,mezcl polv umsha gelatin uva bols x 120g,10,"gelatin, universal, polv"
salsa pomodori al forno e olive sacla 285 g,S/  8.90,36%,Dip de Quinoa Natural Ayni 200 g,Tottus,sals pomodori forn oliv sacl 285 g,0,"sals, bols, chocolat"
hellmanns mayonesa real regular pote x 443 ml,S/  19.10,,Por Tottus,Tottus,hellmanns mayones real regul pot x 443 ml,0,"sals, bols, chocolat"
paneton todinno bolsa x 900gr,S/  23.90,13%,AJINOMOTO,Tottus,paneton todinn bols x 900gr,0,"sals, bols, chocolat"
pasta precocida nissin trigo ramen costilla 85g,S/  1.70,,Sazonador Umami Ajinomoto 100 g,Tottus,past precoc nissin trig ram costill 85g,8,"200g, past, cuisin"
harina de arroz costeno x 1kg,S/  6.50,,Por Tottus,Tottus,harin arroz costen x 1kg,0,"sals, bols, chocolat"
maruchan pack 03 + bowl 255g,S/  16.90,,MARUCHAN,Tottus,maruch pack 03 + bowl 255g,0,"sals, bols, chocolat"
aceituna botija sin pepa tottus,S/  7,,Maruchan Pack 03 + Bowl 255g,Tottus,aceitun botij pep tottus,0,"sals, bols, chocolat"
harina preparada de 1 kg,S/  7.90,,Por Tottus,Tottus,harin prepar 1 kg,0,"sals, bols, chocolat"
tapenade tradicional olivos del sur  x260g,S/  14.70,,TOTTUS,Tottus,tapenad tradicional oliv sur x260g,0,"sals, bols, chocolat"
gelatina sabor fresa light tottus x 22g,S/  2.90,,Aceituna Botija sin Pepa Tottus,Tottus,gelatin sabor fres light tottus x 22g,10,"gelatin, universal, polv"
fideos munición molitalia 250 g,S/  2.30,,Por Tottus,Tottus,fide municion molitali 250 g,0,"sals, bols, chocolat"
paprika molida tottus 20 g,S/  2.10,,MOLITALIA,Tottus,paprik mol tottus 20 g,4,"sibarit, mol, sazon"
fideo molitalia tallarín 450g,S/  3.70,7%,Harina preparada de 1 kg,Tottus,fide molitali tallarin 450g,0,"sals, bols, chocolat"
gelatina sin azúcar sabor a limón de 19 g,S/  4,,Por Tottus,Tottus,gelatin azuc sabor limon 19 g,10,"gelatin, universal, polv"
ají especial panquita sibarita 250 g,S/  7.60,,OLIVOS DEL SUR,Tottus,aji especial panquit sibarit 250 g,4,"sibarit, mol, sazon"
fideo pasta corta caracol 250gr,S/  1.50,,TAPENADE TRADICIONAL OLIVOS DEL SUR  X260G,Tottus,fide past cort caracol 250gr,8,"200g, past, cuisin"
keke de vainilla premezcla 450 gr,S/  8.50,,Por Tottus,Tottus,kek vainill premezcl 450 gr,0,"sals, bols, chocolat"
aceite de maíz florida 1 l,S/  22.90,,FLORIDA,Tottus,aceit maiz flor 1 l,5,"aceit, atun, vegetal"
lomo de atun en aceite v campomar duopack x 150gr,S/  12.40,,Aceite de Maíz Florida 1 L,Tottus,lom atun aceit v campom duopack x 150gr,5,"aceit, atun, vegetal"
burbujitas cereal choco 2 cerros 125 g,S/  10.90,,Por Tottus,Tottus,burbujit cereal choc 2 cerr 125 g,0,"sals, bols, chocolat"
frijol canario,S/  9.60,,CAMPOMAR,Tottus,frijol canari,3,"500, bols, costeñ"
fideo cabello de ángel de 250 gr,S/  4,,LOMO DE ATUN EN ACEITE V CAMPOMAR DUOPACK X 150GR,Tottus,fide cabell angel 250 gr,0,"sals, bols, chocolat"
salsa verde peruana casa verde 330 g,S/  14.10,,Por Tottus,Tottus,sals verd peruan cas verd 330 g,0,"sals, bols, chocolat"
caja salsa de tomate arrabiata tottus 12 x 420 g,S/  90,,2 CERRITOS,Tottus,caj sals tomat arrabiat tottus 12 x 420 g,0,"sals, bols, chocolat"
sólido de atún en aceite girasol real 140 g,S/  6.90,,Burbujitas Cereal Choco 2 Cerros 125 g,Tottus,sol atun aceit girasol real 140 g,5,"aceit, atun, vegetal"
tapenade de alcachofas a la italiana de 185 g,S/  7.90,,Por Tottus,Tottus,tapenad alcachof italian 185 g,0,"sals, bols, chocolat"
lentejon tottus 500g,S/  4.80,,COSTENO,Tottus,lentejon tottus 500g,11,"500g, maxim, co"
gelatina fresa universal x 150g,S/  4.10,,Frijol canario,Tottus,gelatin fres universal x 150g,10,"gelatin, universal, polv"
trozos atún aceite girasol real 170 g - lata 170 g,S/  6.20,,Por Tottus,Tottus,troz atun aceit girasol real 170 g - lat 170 g,5,"aceit, atun, vegetal"
frijol panamito,S/  6.70,,COSTENO,Tottus,frijol panamit,0,"sals, bols, chocolat"
