Lista de Productos,Precios,Descuento,Marca,Supermercado,Lista de Productos Normalizados,Cluster
fideo tallarín de 500 g,S/  3.70,7%,Por Tottus,Tottus,fide tallarin 500 g,2
panetón donofrio en caja 900 g - caja 900 g,S/  27.90,13%,TOTTUS,Tottus,paneton donofri caj 900 g - caj 900 g,0
mayonesa alacena 850 gr,S/  18.70,,LASAGNA TOTTUS X 250 GR,Tottus,mayones alacen 850 gr,7
mezcla para torta de chocolate katzel de 510 g,S/  14.50,,Por Tottus,Tottus,mezcl tort chocolat katzel 510 g,0
pre-mezcla de panqueques con chispas de sabor a chocolate,S/  6.90,,MOLITALIA,Tottus,pre-mezcl panquequ chisp sabor chocolat,5
filetes de atún tottus en agua 170 g,S/  4.60,,Fideo tallarín de 500 g,Tottus,filet atun tottus agu 170 g,8
duraznos tottus en mitades 820 g,S/  8.40,27%,Por Tottus,Tottus,durazn tottus mitad 820 g,0
caja de 6 panetones donofrio en bolsa 900 g,S/  174,,D'ONOFRIO,Tottus,caj 6 paneton donofri bols 900 g,0
syrup hersheys chocolate x 680 gr,S/  20.90,,Panetón Donofrio En Caja 900 g - Caja 900 g,Tottus,syrup hersheys chocolat x 680 gr,0
grated de atún 165 gr,S/  4.70,,Por Tottus,Tottus,grat atun 165 gr,0
aceite oliva os  extr virgen 200 ml,S/  18.90,,OLIVOS DEL SUR,Tottus,aceit oliv extr virg 200 ml,4
pasta de trigo nicolini tallarín grueso bolsa de 950 g,S/  5.90,,ACEITE OLIVA OS  EXTR VIRGEN 200 ML,Tottus,past trig nicolini tallarin grues bols 950 g,0
vinagre de manzana 500 ml,S/  11.10,,Por Tottus,Tottus,vinagr manzan 500 ml,2
syrup de caramelo hersheys 623 g,S/  24.90,,NICOLINI,Tottus,syrup caramel hersheys 623 g,0
fideos spaghetti molitalia de 950 g,S/  6.50,,Pasta de trigo Nicolini tallarín grueso bolsa de 950 g,Tottus,fide spaghetti molitali 950 g,0
panetón de la marca bimbo en caja de 900 g,S/  28,,Por Tottus,Tottus,paneton marc bimb caj 900 g,0
pasta linguini don vittorio de 450 g,S/  4.70,,,Tottus,past linguini don vittori 450 g,0
mayonesa alacena 190 g,S/  9.90,,Vinagre de manzana 500 mL,Tottus,mayones alacen 190 g,7
chuño bolsa de 180 g,S/  3.60,,Por Tottus,Tottus,chuñ bols 180 g,0
sal de maras fina tottus orígenes doypack 600 g,S/  9.90,,HERSHEYS,Tottus,sal mar fin tottus origen doypack 600 g,7
arroz extra gran chalán de 5 kg,S/  23.60,,Syrup de Caramelo Hersheys 623 g,Tottus,arroz extra gran chalan 5 kg,6
filete de atún real en agua light de 80 g,S/  12.40,,Por Tottus,Tottus,filet atun real agu light 80 g,8
vinagre de manzana tottus 1 lt,S/  13.90,,TOTTUS,Tottus,vinagr manzan tottus 1 lt,0
duraznos en almíbar,S/  9.90,17%,Vinagre de Manzana Tottus 1 Lt,Tottus,durazn almib,0
turrón doña pepa tottus 50 gr,S/  3.10,,Por Tottus,Tottus,turron doñ pep tottus 50 gr,0
turrón doña pepa de 1 kg,S/  21.90,,ARICA,Tottus,turron doñ pep 1 kg,0
ají pollero casa verde,S/  4.40,,Duraznos en almíbar,Tottus,aji poller cas verd,0
salsa bbq picante,S/  9.90,,Por Tottus,Tottus,sals bbq picant,0
aceite de girasol orgánico refinado tottus premium 750 ml,S/  26.60,,TOTTUS,Tottus,aceit girasol organ refin tottus premium 750 ml,4
tuco sibarita tallarines 50.4 g,S/  4.40,,Turrón Doña Pepa Tottus 50 gr,Tottus,tuc sibarit tallarin 50.4 g,0
aceite oleico en botella de 946 ml,S/  39.90,,Por Tottus,Tottus,aceit oleic botell 946 ml,4
arroz gourmet extra añejo gran chalán de 5 kg,S/  24.70,,TOTTUS,Tottus,arroz gourmet extra añej gran chalan 5 kg,6
lentejas tottus 500 g,S/  4.30,,Turrón Doña Pepa de 1 kg,Tottus,lentej tottus 500 g,2
pulpa final de tomate tottus x 400 g,S/  4.90,,Por Tottus,Tottus,pulp final tomat tottus x 400 g,0
mayonesa tottus de 950 g,S/  13.90,,TOTTUS,Tottus,mayones tottus 950 g,7
mazamorra de maíz morado 140 g,S/  4,,Mayonesa Tottus de 950 g,Tottus,mazamorr maiz mor 140 g,0
harina sin preparar,S/  6.90,,Por Tottus,Tottus,harin prepar,0
doypack dulce de leche gloria 200 g,S/  4.20,,ROYAL,Tottus,doypack dulc lech glori 200 g,7
salsa de soya shoyu kikko de 350 ml,S/  7.30,,Mazamorra de Maíz Morado 140 g,Tottus,sals soy shoyu kikk 350 ml,0
semillas de calabaza amaru superfoods 200 g,S/  13.50,16%,Por Tottus,Tottus,semill calabaz amaru superfoods 200 g,0
bimbolete sabor vainilla bimbo 3 unidades,S/  3.10,16%,MOLITALIA,Tottus,bimbolet sabor vainill bimb 3 unidad,5
lomo de atun en aceite vegetal campomar x 150gr,S/  5.80,8%,Harina sin preparar,Tottus,lom atun aceit vegetal campom x 150gr,8
paneton todinno 900g+todinnito 85g c/fruta conf,S/  26.90,13%,Por Tottus,Tottus,paneton todinn 900g+todinnit 85g c/frut conf,0
sazonador 6 unidades,S/  2,,GLORIA,Tottus,sazon 6 unidad,9
arroz superior tottus 750 g,S/  3.40,,Doypack Dulce de Leche Gloria 200 g,Tottus,arroz superior tottus 750 g,6
leche condensada nestlé 393 g,S/  7.50,,Por Tottus,Tottus,lech condens nestl 393 g,0
pimienta 100% pura sibarita 21.6 g,S/  3.40,,SIBARITA,Tottus,pimient 100 % pur sibarit 21.6 g,0
aceite de oliva orgánico garcía de la cruz 500 ml,S/  38.90,,Pimienta 100% Pura Sibarita 21.6 g,Tottus,aceit oliv organ garc cruz 500 ml,4
pinguino marinela 80 g,S/  3.50,,Por Tottus,Tottus,pinguin marinel 80 g,0
fideos rigatoni don vittorio 500 g,S/  4.40,,GARCIA DE LA CRUZ,Tottus,fide rigatoni don vittori 500 g,2
fideos spaghetti agnesi 1 kg,S/  22.50,,Aceite de Oliva Orgánico García de la Cruz 500 mL,Tottus,fide spaghetti agnesi 1 kg,0
caldo de gallina doña gusta ajinomoto - 6 unidades,S/  1.70,,Por Tottus,Tottus,cald gallin doñ gust ajinomot - 6 unidad,0
comino sibarita 216 g,S/  4,,MARINELA,Tottus,comin sibarit 216 g,0
flan sabor a chocolate de 150 g,S/  4.50,,Pinguino Marinela 80 g,Tottus,flan sabor chocolat 150 g,5
fideos de trigo codo rayado don vittorio 500 g,S/  4.40,,Por Tottus,Tottus,fide trig cod ray don vittori 500 g,2
sal de maras gruesa con hierbas mediterráneas tottus 90 gr,S/  9.90,,DON VITTORIO,Tottus,sal mar grues hierb mediterran tottus 90 gr,0
fideos rigatoni nicolini de 250 g,S/  1.90,,Fideos Rigatoni Don Vittorio 500 g,Tottus,fide rigatoni nicolini 250 g,0
vinagre blanco tottus x 1 l,S/  3.60,,Por Tottus,Tottus,vinagr blanc tottus x 1 l,0
palillo molido tottus 20 g,S/  2.10,,TOTTUS,Tottus,palill mol tottus 20 g,0
fideo canuto rayado tottus 250 g,S/  1.80,,Palillo molido Tottus 20 g,Tottus,fide canut ray tottus 250 g,0
fideos trigano espagueti con vegetales américa orgánica 227 g,S/  17.30,,Por Tottus,Tottus,fide trigan espagueti vegetal amer organ 227 g,0
lenteja - bolsa 1 kg,S/  8.30,,TOTTUS,Tottus,lentej - bols 1 kg,6
filete de atún artesanal campomar de 100 g,S/  7.50,,Fideo Canuto Rayado Tottus 250 g,Tottus,filet atun artesanal campom 100 g,8
crema de almendras castañas y cacao wasi organics de 250 g,S/  34.50,,Por Tottus,Tottus,crem almendr castañ caca wasi organics 250 g,0
keke familiar naranja bimbo 380 g,S/  9.90,,AMERICA ORGANICA,Tottus,kek famili naranj bimb 380 g,0
arroz parboilizado costeño 750 g,S/  5.50,,Fideos Trigano Espagueti con Vegetales América Orgánica 227 g,Tottus,arroz parboiliz costeñ 750 g,6
maicena universal 180gr,S/  2.90,,Por Tottus,Tottus,maicen universal 180gr,0
sólido de atún en aceite de 170 g,S/  5.80,,TOTTUS,Tottus,sol atun aceit 170 g,8
sal light biosal 125g,S/  4.10,,Lenteja - Bolsa 1 kg,Tottus,sal light biosal 125g,0
conserva de frijoles negros en salmuera 400 g,S/  3.90,,Por Tottus,Tottus,conserv frijol negr salmuer 400 g,0
mezcla para keke de vainilla de 510 g,S/  12.90,,KATZEL,Tottus,mezcl kek vainill 510 g,0
pasta de ají panca tottus 205 g,S/  5.40,,Mezcla para keke de vainilla de 510 g,Tottus,past aji panc tottus 205 g,0
salsa de ajo y kión kikko de 350 ml,S/  4.60,,Por Tottus,Tottus,sals ajo kion kikk 350 ml,0
ketchup de 200 g para la alacena,S/  4.70,,TOTTUS,Tottus,ketchup 200 g alacen,7
pasta de trigo don vittorio linguini grosso de 450 g,S/  4.70,,Pasta de Ají Panca Tottus 205 g,Tottus,past trig don vittori linguini gross 450 g,0
pimiento piquillo gourmet de 290 g,S/  11.90,,Por Tottus,Tottus,pimient piquill gourmet 290 g,0
ajos molidos tottus 215 g,S/  6.70,,KIKKO,Tottus,ajos mol tottus 215 g,0
salsa de tomate pomarola bolognesa de 370 g,S/  6.85,,Salsa de Ajo y Kión Kikko de 350 mL,Tottus,sals tomat pomarol bolognes 370 g,0
naturandes harina de linaza x300g,S/  10,,Por Tottus,Tottus,naturand harin linaz x300g,0
sopa instantánea mixta de mar 125 gr,S/  6.70,,ALACENA,Tottus,sop instantane mixt mar 125 gr,0
aceite de oliva puro el olivar 200 ml,S/  12.50,,Ketchup de 200 g para la alacena,Tottus,aceit oliv pur oliv 200 ml,4
vinagre de vino blanco florida de 1 litro,S/  4.60,,Por Tottus,Tottus,vinagr vin blanc flor 1 litr,0
menta andina cj. x 12 uni. wawasana,S/  3.50,17%,WAWASANA,Tottus,ment andin cj . x 12 uni . wawasan,0
tallarín precio uno 500 g - bolsa 500 gr,S/  2.60,,MENTA ANDINA CJ. X 12 UNI. WAWASANA,Tottus,tallarin preci 500 g - bols 500 gr,2
cereal bar chips 8 unidades 21g,S/  6.60,,Por Tottus,Tottus,cereal bar chips 8 unidad 21g,0
ajo molido sibarita siba de 250 g,S/  10,,PRECIO UNO,Tottus,ajo mol sibarit sib 250 g,0
tottus pimienta negra molida 20 g,S/  2.50,,Tallarín Precio Uno 500 g - Bolsa 500 gr,Tottus,tottus pimient negr mol 20 g,0
mezcla polvo umsha gelatina fresa bolsa x 120g,S/  3.70,,Por Tottus,Tottus,mezcl polv umsha gelatin fres bols x 120g,5
tallarín saltado ajinomen 100 g,S/  2.20,,COSTA,Tottus,tallarin salt ajinom 100 g,0
pre mezcla fudge brownie tottus 310 g,S/  7.50,,Cereal Bar Chips 8 Unidades 21g,Tottus,pre mezcl fudg browni tottus 310 g,0
pack de vinagre de manzana de 2 unidades,S/  24.10,,Por Tottus,Tottus,pack vinagr manzan 2 unidad,9
mezcla para arroz con pollo seco y aguadito provenzal 58 g,S/  9,,SIBARITA,Tottus,mezcl arroz poll sec aguadit provenzal 58 g,0
pimienta negra molida tottus 60 g,S/  8.40,,Ajo molido Sibarita Siba de 250 g,Tottus,pimient negr mol tottus 60 g,0
salsa de tomate pomarola casera hongo laurel 390g,S/  5.60,,Por Tottus,Tottus,sals tomat pomarol caser hong laurel 390g,0
fideos tornillo tricolor molitalia de 250 g,S/  2.90,,MOLITALIA,Tottus,fide tornill tricolor molitali 250 g,0
fideos spaghettoni ruvidi giuseppe ferro 500 g,S/  6.45,,Fideos Tornillo Tricolor Molitalia de 250 g,Tottus,fide spaghettoni ruvidi giusepp ferr 500 g,2
arroz extra tottus 750 g,S/  4.10,,Por Tottus,Tottus,arroz extra tottus 750 g,6
ajonjolí tottus 20 g,S/  2.10,,GIUSEPPE FERRO,Tottus,ajonjol tottus 20 g,0
sopa instantánea ajinomen sabor pollo con verduras 80 g,S/  1.60,,Fideos Spaghettoni Ruvidi Giuseppe Ferro 500 g,Tottus,sop instantane ajinom sabor poll verdur 80 g,5
salsa vinagreta de mostaza y pimienta en alacena doypack de 190 g,S/  5.10,,Por Tottus,Tottus,sals vinagret mostaz pimient alacen doypack 190 g,7
pepinillos salz-dill-gurken 720 ml,S/  36.30,,TOTTUS,Tottus,pepinill salz-dill-gurk 720 ml,0
harina de ajonjolí 250 g,S/  10,,Arroz Extra Tottus 750 g,Tottus,harin ajonjol 250 g,0
perejil 7 g,S/  4.50,,Por Tottus,Tottus,perejil 7 g,0
harina de quinua 250 gr,S/  10.49,,TOTTUS,Tottus,harin quinu 250 gr,0
sopa instantánea ajinomen sabor pollo 80 g,S/  1.60,,Ajonjolí Tottus 20 g,Tottus,sop instantane ajinom sabor poll 80 g,5
cubo de sabor a carne maggi 8 unidades,S/  4.50,,Por Tottus,Tottus,cub sabor carn maggi 8 unidad,5
alino acavillex200ml,S/  12.50,,ACAVILLE,Tottus,alin acavillex200ml,0
romero tottus 10 g,S/  2.50,,ALINO ACAVILLEX200ML,Tottus,romer tottus 10 g,0
salsa hoisin 397 g,S/  20.20,,Por Tottus,Tottus,sals hoisin 397 g,0
mezcla polvo umsha mazamorra pina bolsa x 125g,S/  3.70,,TOTTUS,Tottus,mezcl polv umsha mazamorr pin bols x 125g,0
turrón doña pepa receta tottus 500 g,S/  11.90,,Romero Tottus 10 g,Tottus,turron doñ pep recet tottus 500 g,2
king kong manjar de piña y maní san roque 450 g,S/  28.50,,Por Tottus,Tottus,king kong manj piñ man san roqu 450 g,0
salsa bbq original hunts x 360 gr,S/  8.90,,LEE KUM KEE,Tottus,sals bbq original hunts x 360 gr,0
paprika molida 15 g,S/  4.20,,Salsa Hoisin 397 g,Tottus,paprik mol 15 g,0
mezcla polvo umsha gelatina pina bolsa x 120g,S/  3.70,,Por Tottus,Tottus,mezcl polv umsha gelatin pin bols x 120g,5
arroz integral gran chalan x 750 g,S/  5.20,,UMSHA,Tottus,arroz integral gran chal x 750 g,6
colapiz sin sabor de 20 g,S/  3.10,,MEZCLA POLVO UMSHA MAZAMORRA PINA BOLSA X 125G,Tottus,colapiz sabor 20 g,5
arroz superior paisana 1 kg,S/  4.90,,Por Tottus,Tottus,arroz superior paisan 1 kg,6
sopa de mariscos 56 g,S/  10.50,,NONGSHIM,Tottus,sop marisc 56 g,0
flan vainilla royal x 80g,S/  2.90,,Sopa de mariscos 56 g,Tottus,flan vainill royal x 80g,5
dip de quinoa natural ayni 200 g,S/  16.40,,Por Tottus,Tottus,dip quino natural ayni 200 g,0
sazonador umami ajinomoto 100 g,S/  2.90,,ROYAL,Tottus,sazon umami ajinomot 100 g,9
protein pancake de cacao amaru de 350 g,S/  24.50,16%,FLAN VAINILLA ROYAL X 80G,Tottus,protein pancak caca amaru 350 g,0
harina sin preparar tottus 1kg,S/  6.90,,Por Tottus,Tottus,harin prepar tottus 1kg,0
mezcla polvo umsha gelatina uva bolsa x 120g,S/  3.70,,AYNI,Tottus,mezcl polv umsha gelatin uva bols x 120g,5
salsa pomodori al forno e olive sacla 285 g,S/  8.90,36%,Dip de Quinoa Natural Ayni 200 g,Tottus,sals pomodori forn oliv sacl 285 g,0
hellmanns mayonesa real regular pote x 443 ml,S/  19.10,,Por Tottus,Tottus,hellmanns mayones real regul pot x 443 ml,7
paneton todinno bolsa x 900gr,S/  23.90,13%,AJINOMOTO,Tottus,paneton todinn bols x 900gr,0
pasta precocida nissin trigo ramen costilla 85g,S/  1.70,,Sazonador Umami Ajinomoto 100 g,Tottus,past precoc nissin trig ram costill 85g,0
harina de arroz costeno x 1kg,S/  6.50,,Por Tottus,Tottus,harin arroz costen x 1kg,0
maruchan pack 03 + bowl 255g,S/  16.90,,MARUCHAN,Tottus,maruch pack 03 + bowl 255g,9
aceituna botija sin pepa tottus,S/  7,,Maruchan Pack 03 + Bowl 255g,Tottus,aceitun botij pep tottus,0
harina preparada de 1 kg,S/  7.90,,Por Tottus,Tottus,harin prepar 1 kg,0
tapenade tradicional olivos del sur  x260g,S/  14.70,,TOTTUS,Tottus,tapenad tradicional oliv sur x260g,0
gelatina sabor fresa light tottus x 22g,S/  2.90,,Aceituna Botija sin Pepa Tottus,Tottus,gelatin sabor fres light tottus x 22g,5
fideos munición molitalia 250 g,S/  2.30,,Por Tottus,Tottus,fide municion molitali 250 g,0
paprika molida tottus 20 g,S/  2.10,,MOLITALIA,Tottus,paprik mol tottus 20 g,0
fideo molitalia tallarín 450g,S/  3.70,7%,Harina preparada de 1 kg,Tottus,fide molitali tallarin 450g,0
gelatina sin azúcar sabor a limón de 19 g,S/  4,,Por Tottus,Tottus,gelatin azuc sabor limon 19 g,5
ají especial panquita sibarita 250 g,S/  7.60,,OLIVOS DEL SUR,Tottus,aji especial panquit sibarit 250 g,0
fideo pasta corta caracol 250gr,S/  1.50,,TAPENADE TRADICIONAL OLIVOS DEL SUR  X260G,Tottus,fide past cort caracol 250gr,0
keke de vainilla premezcla 450 gr,S/  8.50,,Por Tottus,Tottus,kek vainill premezcl 450 gr,0
aceite de maíz florida 1 l,S/  22.90,,FLORIDA,Tottus,aceit maiz flor 1 l,4
lomo de atun en aceite v campomar duopack x 150gr,S/  12.40,,Aceite de Maíz Florida 1 L,Tottus,lom atun aceit v campom duopack x 150gr,8
burbujitas cereal choco 2 cerros 125 g,S/  10.90,,Por Tottus,Tottus,burbujit cereal choc 2 cerr 125 g,0
frijol canario,S/  9.60,,CAMPOMAR,Tottus,frijol canari,3
fideo cabello de ángel de 250 gr,S/  4,,LOMO DE ATUN EN ACEITE V CAMPOMAR DUOPACK X 150GR,Tottus,fide cabell angel 250 gr,0
salsa verde peruana casa verde 330 g,S/  14.10,,Por Tottus,Tottus,sals verd peruan cas verd 330 g,0
caja salsa de tomate arrabiata tottus 12 x 420 g,S/  90,,2 CERRITOS,Tottus,caj sals tomat arrabiat tottus 12 x 420 g,0
sólido de atún en aceite girasol real 140 g,S/  6.90,,Burbujitas Cereal Choco 2 Cerros 125 g,Tottus,sol atun aceit girasol real 140 g,8
tapenade de alcachofas a la italiana de 185 g,S/  7.90,,Por Tottus,Tottus,tapenad alcachof italian 185 g,0
lentejon tottus 500g,S/  4.80,,COSTENO,Tottus,lentejon tottus 500g,3
gelatina fresa universal x 150g,S/  4.10,,Frijol canario,Tottus,gelatin fres universal x 150g,0
trozos atún aceite girasol real 170 g - lata 170 g,S/  6.20,,Por Tottus,Tottus,troz atun aceit girasol real 170 g - lat 170 g,8
frijol panamito,S/  6.70,,COSTENO,Tottus,frijol panamit,0
arroz superior vallenorte 750 g,S/  4.70,,Frijol Panamito,Tottus,arroz superior vallenort 750 g,6
pimienta negra entera tottus de 20 g,S/  2.50,,Por Tottus,Tottus,pimient negr enter tottus 20 g,0
arveja partida tottus de 500 g,S/  4,,VALLENORTE,Tottus,arvej part tottus 500 g,2
salsa roja pouch casa verde 160g,S/  3.95,,Arroz Superior Vallenorte 750 g,Tottus,sals roj pouch cas verd 160g,0
bonle manjarblanco x 1kg bolsa,S/  18.50,,Por Tottus,Tottus,bonl manjarblanc x 1kg bols,0
aceituna botija entera olivos del sur 850 g,S/  14.70,,TOTTUS,Tottus,aceitun botij enter oliv sur 850 g,0
sazonador ajinomoto de 100 g,S/  8.30,,Pimienta negra entera Tottus de 20 g,Tottus,sazon ajinomot 100 g,9
clavo de olor badia 7.1 gr,S/  4.95,,Por Tottus,Tottus,clav olor badi 7.1 gr,0
mostaza düsseldorf,S/  9.90,,TOTTUS,Tottus,mostaz düsseldorf,0
helado de vainilla con stevia de 50 g,S/  4.90,,Arveja partida Tottus de 500 g,Tottus,hel vainill stevi 50 g,0
gelatina sabor naranja light tottus x 22g,S/  2.90,,Por Tottus,Tottus,gelatin sabor naranj light tottus x 22g,5
harina de quinua 500 g,S/  33.90,,GENERICO,Tottus,harin quinu 500 g,2
salsa verde peruana casa verde de 190 g,S/  8.70,,Harina de Quinua 500 g,Tottus,sals verd peruan cas verd 190 g,0
pasta spaghetti sin gluten x400gr,S/  13.50,21%,Por Tottus,Tottus,past spaghetti glut x400gr,0
vinagre de vino tinto venturo 600 ml,S/  4.90,,CASA VERDE,Tottus,vinagr vin tint ventur 600 ml,0
naturandes linaza x 150 g,S/  6.20,,Salsa Verde Peruana Casa Verde de 190 g,Tottus,naturand linaz x 150 g,0
alcachofa a la parrilla casa verde 220 g,S/  8.70,,Por Tottus,Tottus,alcachof parrill cas verd 220 g,0
pack de sazonador panquita sibarita 3 unidades,S/  3.20,,MOLINOS DEL MUNDO,Tottus,pack sazon panquit sibarit 3 unidad,9
tapenade de aceitunas y alcachofa de 185 g,S/  4.90,38%,PASTA SPAGHETTI SIN GLUTEN X400GR,Tottus,tapenad aceitun alcachof 185 g,0
filete de atún claro en aceite campomar 170 g,S/  6.90,,Por Tottus,Tottus,filet atun clar aceit campom 170 g,8
gansito marinela 50 g,S/  2.70,,VENTURO,Tottus,gansit marinel 50 g,0
aderezo especial x 90 gr,S/  3.65,,Vinagre de vino tinto Venturo 600 mL,Tottus,aderez especial x 90 gr,0
pudín de butterscotch 4 unidades,S/  16.50,,Por Tottus,Tottus,pudin butterscotch 4 unidad,0
vegetales mixtos en conserva de 425 g,S/  8.80,,VALLE FERTIL,Tottus,vegetal mixt conserv 425 g,0
arroz extra vallenorte 750 gr,S/  4.80,,Vegetales mixtos en conserva de 425 g,Tottus,arroz extra vallenort 750 gr,6
salsa de culantro sibarita 100 g,S/  2.20,,Por Tottus,Tottus,sals culantr sibarit 100 g,0
salsa huancaína casa verde,S/  5.09,,VALLENORTE,Tottus,sals huancain cas verd,0
tomillo entero 5 g,S/  3.70,,Arroz Extra Vallenorte 750 gr,Tottus,tomill enter 5 g,0
dip de alcachofa a la parmesana casa verde 200 g,S/  8.90,,Por Tottus,Tottus,dip alcachof parmesan cas verd 200 g,0
vinagreta a la mostaza 200 ml,S/  8.90,,SIBARITA,Tottus,vinagret mostaz 200 ml,0
frijol castilla 500 g,S/  5.60,,Salsa de Culantro Sibarita 100 g,Tottus,frijol castill 500 g,2
tottus orégano entero 10 g,S/  1.40,,Por Tottus,Tottus,tottus oregan enter 10 g,0
cereal bar costa manzana canela 18 unidades 12g,S/  6.60,,CASA VERDE,Tottus,cereal bar cost manzan canel 18 unidad 12g,0
fideos spaghetti dr. schär sin gluten 250 g,S/  15.50,,Salsa Huancaína Casa Verde,Tottus,fide spaghetti dr. schär glut 250 g,0
ketchup artesanal ayni 280 gr,S/  16.40,,Por Tottus,Tottus,ketchup artesanal ayni 280 gr,0
salsa de ají limo 165 gr,S/  12.70,,SPITZE,Tottus,sals aji lim 165 gr,0
sillao kikko 350 ml,S/  3.20,,Salsa de Ají Limo 165 gr,Tottus,silla kikk 350 ml,0
fideo tornillo nicolini de 250 g,S/  1.90,,Por Tottus,Tottus,fide tornill nicolini 250 g,0
vinagreta a la mostaza de 340 ml,S/  12.40,,KIKKO,Tottus,vinagret mostaz 340 ml,0
fideos trigrano fusilli américa orgánica de 227 g,S/  14.30,,Sillao Kikko 350 mL,Tottus,fide trigran fusilli amer organ 227 g,0
mostaza al curry con vinagre clovis 200 g,S/  18.30,,Por Tottus,Tottus,mostaz curry vinagr clovis 200 g,0
linaza  500gr,S/  10.90,,,Tottus,linaz 500gr,0
mayonesa tottus de 475 g,S/  9.10,,Fideo Tornillo Nicolini de 250 g,Tottus,mayones tottus 475 g,7
confites surtidos 2 cerros 125 g,S/  8.90,,Por Tottus,Tottus,confit surt 2 cerr 125 g,0
